Battery_ID,tau_mean_cycles,tau_median_cycles,tau_hdi_lower_cycles,tau_hdi_upper_cycles,beta_pre_median_cd_per_cycle,beta_pre_hdi_lower_cd_per_cycle,beta_pre_hdi_upper_cd_per_cycle,beta_post_median_cd_per_cycle,beta_post_hdi_lower_cd_per_cycle,beta_post_hdi_upper_cd_per_cycle,delta_beta_median_cd_per_cycle,delta_beta_hdi_lower_cd_per_cycle,delta_beta_hdi_upper_cd_per_cycle,probability_delta_beta_positive,tau_bulk_ess,tau_tail_ess,tau_r_hat,delta_beta_bulk_ess,delta_beta_tail_ess,delta_beta_r_hat,transition_identifiability_flag
1,556.0888942686571,556.123287169232,533.0397699937452,577.6560130279138,0.0007627744329642801,0.0006265173934623349,0.0009019401909349885,0.0055279453818332545,0.005378297984739945,0.005686484504559523,0.004766761057652006,0.004558490918795825,0.004972291872847301,1.0,14148.0,6076.0,1.0,7831.0,5431.0,1.0,identified
2,579.1939182774245,579.1318741860437,559.9238690887914,598.1479785473354,0.0009622128731771047,0.0008148630050347903,0.0010958736759970513,0.006964676852324888,0.006784225613963246,0.007161193391145554,0.006004800329343272,0.005757935182946971,0.006259123552356163,1.0,14352.0,5726.0,1.0,7960.0,5624.0,1.0,identified
3,707.6832679887962,707.3768332804183,683.0051066445205,735.4344526187701,0.0013808389577428847,0.0012911854765516955,0.0014708128592064132,0.006304870588344218,0.006053229390918888,0.006575047860463028,0.004924815582723217,0.004659329732025747,0.005209776414750727,1.0,11612.0,6300.0,1.0,8683.0,5489.0,1.0,identified
4,692.4906075026832,692.3455009241702,669.0920201542629,715.8970568842793,0.0012919179476999021,0.0011887665010123978,0.0013971169892542344,0.006795223243441282,0.00655354436169019,0.007071407406971633,0.0055040871142433955,0.005244183793374015,0.005801564837721252,1.0,12519.0,6435.0,1.0,7858.0,6340.0,1.0,identified
5,537.3234107331059,537.4516766547381,518.9580638261215,555.4194946210371,0.0006758629523217115,0.0005157197918774437,0.0008367043156275771,0.006618172406574125,0.006465624252016259,0.006793162464312626,0.005944483903059596,0.005698894899504875,0.006195340089877746,1.0,15473.0,5814.0,1.0,7747.0,5879.0,1.0,identified
6,447.5003282515751,447.4804693940059,431.20792129133054,464.1869344014371,0.0003463465123005145,9.324130338505576e-05,0.0005979710592207881,0.008016933071420417,0.007865896482172372,0.008166462293349297,0.007670275751802855,0.00736110966197382,0.00801528111575853,1.0,15798.0,6688.0,1.0,7725.0,6065.0,1.0,identified
7,512.3597008209498,512.3087484600946,496.78554530723204,527.5185842943359,0.000714327896140966,0.0005123304443891667,0.0009097358387777051,0.00839832949724003,0.008208314641650854,0.008594851882768524,0.007685237277948341,0.007380884012715826,0.008015438441898736,1.0,15762.0,6290.0,1.0,7451.0,5965.0,1.0,identified
8,452.4852314119128,452.6462511270694,427.150007536051,477.06784513550974,0.0005444742687072426,0.00035563774073339764,0.0007320136190848862,0.0049238880165412766,0.004819565856628861,0.005029546106781215,0.0043815639448419735,0.004180031349104117,0.004603413532948639,1.0,12339.0,6386.0,1.0,8393.0,6142.0,1.0,identified
9,607.9529406804663,607.7858756216784,584.261676797539,630.8485534161284,0.0013176644274052233,0.001179131921239042,0.0014457909360321732,0.007215531707979256,0.006990101579713205,0.007469541909883595,0.0058994885165355795,0.0056379858458094415,0.006191227041597802,1.0,14156.0,6468.0,1.0,7866.0,5819.0,1.0,identified
10,442.53550482241496,442.62426658775803,420.47965173088585,464.90104889940767,0.0006677593927491535,0.00045144400678434523,0.0008624814399247268,0.005699365424541493,0.0055876886110771224,0.005819582352564669,0.005033302038548848,0.004811863690493549,0.005292793654738164,1.0,15272.0,6317.0,1.0,8747.0,6425.0,1.0,identified
11,929.3104657951593,928.8300985699102,880.3488067382998,974.8137717199372,0.0018783836656785728,0.001786759591489463,0.0019595093176447372,0.009179987972455589,0.008271927931273463,0.010150050664538638,0.0073042809671744185,0.006417476356100468,0.008242872943793755,1.0,4578.0,4965.0,1.0,4447.0,4545.0,1.0,boundary_sensitive
12,502.3151938895602,502.18059425108055,462.32670533076123,541.3941269610359,0.001287198478056298,0.0011203698674743896,0.0014447312731880775,0.004481262840520844,0.00435247960077392,0.004620160808868125,0.003198427524899208,0.0030393301887843577,0.00336037005805848,1.0,11678.0,5494.0,1.0,9807.0,6321.0,1.0,identified
13,435.7820769789194,435.9650631183242,410.67108980656496,463.0170693088105,0.0009951833630836762,0.0007804892823667782,0.001179703519184665,0.005299887766030699,0.005193511419835159,0.005409966465371937,0.004308499010267671,0.004091858104508213,0.0045260002953839635,1.0,13457.0,5810.0,1.0,8236.0,6224.0,1.0,identified
14,351.50038304563077,351.7850184462518,324.7975674246435,376.28237761634915,0.00044410189859110053,0.00014257407939681396,0.0007536115896794204,0.005769340310800351,0.0056865249714716445,0.005857082785726574,0.005325631498494956,0.0050114379003047185,0.005652638828538603,1.0,11695.0,5934.0,1.0,9053.0,5947.0,1.0,identified
