model_id,scenario_id,diagnostic_status,treedepth_saturation_count
A1_bayesian_smooth_aggregate,R2_random_keep_50_seed_20260616,failed,0
A1_bayesian_smooth_aggregate,R4_truncate_75,failed,0
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260616,passed,0
H1_hierarchical_h5_1,R4_truncate_75,passed,0
A1_bayesian_smooth_aggregate,R2_random_keep_50_seed_20260617,passed,0
A1_bayesian_smooth_aggregate,R2_random_keep_50_seed_20260618,failed,0
A1_bayesian_smooth_aggregate,R2_random_keep_50_seed_20260619,failed,0
A1_bayesian_smooth_aggregate,R4_truncate_90,passed,0
A1_bayesian_smooth_aggregate,R4_truncate_80,passed,0
A1_bayesian_smooth_aggregate,R4_truncate_70,failed,1
A1_bayesian_smooth_aggregate,R4_truncate_60,passed,0
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260617,passed,0
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260618,passed,0
H1_hierarchical_h5_1,R2_random_keep_50_seed_20260619,passed,0
H1_hierarchical_h5_1,R4_truncate_90,passed,0
H1_hierarchical_h5_1,R4_truncate_80,passed,0
H1_hierarchical_h5_1,R4_truncate_70,passed,0
H1_hierarchical_h5_1,R4_truncate_60,passed,0
